model,fold,roc_auc,pr_auc,brier,n_train,n_test,n_pos_train,n_pos_test
logreg_baseline,0,0.7000000000000001,0.6093434343434343,0.4098604296412199,50,23,20,5
logreg_baseline,1,0.6190476190476191,0.6236471861471861,0.25535485981226824,60,13,19,6
logreg_baseline,2,0.5555555555555556,0.5382936507936508,0.342912771556758,61,12,19,6
logreg_baseline,3,0.5416666666666666,0.5575757575757576,0.21751183968560775,62,11,22,3
logreg_baseline,4,0.5111111111111112,0.3857142857142857,0.3386852197236583,59,14,20,5
xgb_tuned,0,0.5222222222222223,0.3682539682539683,0.3053947687149048,50,23,20,5
xgb_tuned,1,0.6190476190476191,0.5771825396825396,0.2710789442062378,60,13,19,6
xgb_tuned,2,0.5277777777777778,0.647979797979798,0.27117738127708435,61,12,19,6
xgb_tuned,3,0.41666666666666663,0.3055555555555556,0.278068482875824,62,11,22,3
xgb_tuned,4,0.6555555555555556,0.4666666666666667,0.23531492054462433,59,14,20,5
